id,x,y,tipo,H,S,V,area_px,feret_max_px,diam_equiv_px,eje_mayor_px
1,1025,78,3,2.9,119.8,167.6,3638,71.45,68.06,70.20
2,1260,78,3,0.1,127.8,169.6,3940,76.32,70.83,74.72
3,1374,78,3,2.0,126.3,176.8,3870,74.63,70.19,74.01
4,1485,79,3,0.5,127.0,185.6,3935,75.03,70.78,75.11
5,1145,80,3,1.2,129.2,176.4,3716,71.45,68.78,71.19
6,674,83,3,2.7,116.2,182.6,4307,77.83,74.05,78.19
7,912,84,3,2.0,125.8,183.0,3674,70.77,68.39,70.83
8,792,85,3,2.4,123.0,181.9,3644,71.59,68.12,71.08
9,437,87,3,1.7,112.2,176.0,3824,73.82,69.78,74.62
10,557,87,2,2.1,134.6,204.0,3318,69.20,65.00,68.45
11,1263,180,2,0.3,139.2,199.6,5408,87.09,82.98,87.26
12,1488,180,3,0.8,125.9,173.9,5464,87.62,83.41,88.21
13,1375,184,3,1.6,124.9,163.8,3728,72.67,68.90,71.82
14,910,186,3,2.8,125.1,168.8,3480,70.04,66.56,69.23
15,1030,187,3,5.1,118.2,175.5,3956,73.33,70.98,73.04
16,1142,187,2,3.8,140.0,203.5,3066,64.85,62.49,64.36
17,796,190,2,4.3,117.2,195.6,4000,74.04,71.36,73.94
18,562,192,3,3.1,113.8,171.5,3715,71.59,68.78,71.40
19,679,193,2,3.6,117.9,200.8,4065,74.81,71.94,74.93
20,442,195,2,2.3,134.7,201.4,3169,66.22,63.52,66.21
21,1376,284,3,1.3,127.4,170.5,3646,70.43,68.13,70.75
22,1485,286,3,2.6,120.6,177.3,3650,70.84,68.17,70.89
23,1263,290,3,1.6,127.9,174.7,5092,82.42,80.52,81.99
24,1143,292,3,4.1,125.9,190.8,3280,66.48,64.63,66.08
25,912,295,1,2.0,148.4,242.9,4006,73.44,71.42,72.87
26,1033,296,3,4.0,123.4,186.6,3869,73.01,70.19,72.49
27,685,297,2,3.7,131.5,199.8,5080,82.20,80.42,81.63
28,799,298,3,4.7,120.7,177.7,3258,66.71,64.40,65.72
29,446,301,3,2.6,117.3,173.0,3667,72.24,68.33,72.08
30,564,303,2,2.5,125.4,203.7,5204,84.88,81.40,84.50
31,1485,389,3,2.0,125.1,186.6,3540,69.64,67.14,68.84
32,1258,390,3,5.5,126.9,172.3,3193,66.76,63.76,65.95
33,1144,391,3,4.3,125.5,170.7,3265,66.94,64.48,65.78
