id,x,y,area_px,pixeles,H,S,V,tipo,calibre_mm
1,1373,77,4086,4101,2.2,124.0,178.7,3,20.49
2,1025,78,3898,3855,3.0,118.8,167.5,3,19.61
3,1259,78,4256,4227,0.6,124.8,171.9,3,21.62
4,1144,79,3948,3951,1.5,127.1,177.2,3,19.80
5,1484,80,4250,4171,1.0,124.3,187.8,3,22.05
6,674,82,4574,4557,2.8,114.9,182.9,3,21.65
7,912,83,3888,3727,2.4,123.7,183.5,3,19.82
8,792,84,3901,3883,2.5,121.5,182.1,3,19.92
9,557,86,3526,3516,2.2,132.7,204.4,2,19.36
10,437,87,4176,4017,1.4,111.1,178.9,3,20.92
11,1488,179,5776,5691,1.1,124.4,175.2,3,24.55
12,1263,180,5707,5707,0.7,137.2,199.8,2,24.35
13,1375,184,4065,3968,2.0,123.2,166.1,3,20.29
14,910,185,3815,3776,3.1,123.2,169.0,3,19.71
15,1030,186,4218,4169,5.1,117.1,175.4,3,20.49
16,1142,186,3176,3096,3.2,140.1,204.3,2,17.97
17,796,189,4238,4261,4.3,116.1,195.3,2,20.62
18,562,192,3972,3908,3.6,112.3,170.1,3,20.01
19,679,192,4310,4158,3.8,116.1,199.2,2,20.87
20,442,195,3427,3397,2.4,132.3,201.3,2,18.70
21,1888,205,4361,3210,11.1,65.0,176.3,,27.94
22,1376,284,3896,3877,1.7,125.1,172.7,3,19.57
23,1485,285,3830,3764,2.7,119.7,178.5,3,19.66
24,1262,290,5360,5253,2.3,126.2,175.1,3,22.86
25,1142,291,3528,3269,3.7,124.3,191.3,3,18.61
26,912,295,4169,4177,2.1,147.3,241.8,1,20.22
27,684,296,5392,5372,4.2,129.2,198.7,2,22.84
28,1033,296,4134,4133,4.1,121.6,186.6,3,20.28
29,799,298,3550,3490,5.4,118.3,174.2,3,18.67
30,445,300,3884,3841,2.5,116.5,173.5,3,20.12
31,564,302,5528,5321,2.3,124.1,204.3,2,23.48
32,1484,388,3766,3763,2.4,122.9,188.0,3,19.22
33,1258,390,3539,3511,7.1,123.4,170.7,3,18.69
34,1144,391,3531,3481,4.4,124.3,170.8,3,18.60
35,1373,391,3754,3720,2.1,158.0,236.8,1,19.66
36,1034,394,4069,4041,4.6,119.5,173.0,3,20.20
37,806,398,4076,4026,5.3,122.4,174.7,3,19.94
38,915,399,3978,3896,5.2,125.8,169.4,3,19.66
39,685,401,4060,3951,6.1,114.7,166.0,3,19.97
40,567,404,5366,5342,4.5,122.3,184.2,3,23.17
41,448,406,3898,3831,2.8,111.8,160.9,3,19.80
42,1375,487,3586,3581,2.9,130.0,175.6,3,19.02
43,1486,491,4364,4295,4.3,122.5,186.3,3,20.92
44,1259,493,3454,3464,5.4,129.6,180.1,3,18.40
45,1149,496,2980,2967,5.5,145.4,201.1,2,17.02
46,1036,500,3765,3617,6.1,124.7,172.0,3,18.95
47,925,502,4766,4734,5.1,127.1,171.2,3,21.54
48,693,505,3443,3462,6.1,122.5,171.6,3,18.31
49,810,506,3780,3645,6.3,121.5,190.5,3,19.17
50,571,508,5236,5129,2.9,120.2,172.8,3,22.66
51,456,511,3732,3705,5.3,111.4,168.3,3,19.42
52,1378,592,3650,3600,3.5,125.2,163.0,3,19.24
53,1489,592,5405,5324,2.6,128.5,182.0,3,23.49
54,1156,595,4834,4745,4.0,128.6,172.4,3,21.63
55,1264,595,3472,3401,3.8,129.8,168.6,3,18.67
56,1039,599,3678,3530,7.4,119.2,181.3,3,18.93
57,812,605,3239,3119,5.4,119.5,187.9,3,17.82
58,926,605,4762,4506,5.1,122.1,169.1,3,21.41
59,698,607,3438,3382,6.5,122.7,184.6,3,18.31
60,576,613,4258,4204,3.1,121.6,171.3,3,20.76
61,460,617,4380,4342,5.5,127.7,191.2,3,20.90
62,1374,694,3625,3593,2.7,128.9,176.8,3,19.32
63,1484,694,3747,3686,2.7,130.8,179.4,3,19.62
64,1148,697,3248,3123,3.7,127.1,181.9,3,18.05
65,1260,697,3397,3367,4.3,120.7,166.4,3,18.60
66,927,704,3265,3233,4.5,123.6,173.7,3,18.03
67,1038,705,3802,3793,4.7,123.1,175.7,3,19.33
68,812,711,4781,4761,5.5,122.9,170.1,3,21.47
69,697,712,4138,4116,1.7,124.2,178.5,3,20.32
70,584,715,3559,2927,2.8,120.2,175.0,3,19.15
71,464,718,3742,3700,1.3,121.0,171.5,3,19.72
72,1482,790,3746,3716,2.2,126.5,192.9,2,19.51
73,1374,793,3116,3069,1.3,158.4,238.9,1,18.13
74,1152,794,3350,3317,3.0,129.5,180.2,3,18.31
75,1265,795,3486,3436,4.2,124.0,175.1,3,18.79
76,1042,805,3324,3141,3.1,121.3,192.6,2,18.30
77,930,806,3346,3209,4.1,123.8,193.2,2,18.26
78,702,812,4000,3961,6.6,131.2,203.7,2,19.85
79,814,812,5076,4973,3.1,128.9,202.5,2,22.65
80,582,819,4184,4049,2.6,113.8,176.5,3,20.37
81,469,823,3765,3768,2.0,116.1,183.2,3,19.44
82,1489,892,5475,5400,0.7,131.5,188.3,3,23.88
83,1380,895,5236,5198,1.7,129.2,185.1,3,23.24
84,1155,896,3393,3406,2.9,126.3,187.0,3,18.41
85,1270,900,5061,5011,1.3,131.5,184.3,3,23.00
86,1044,903,3495,3451,3.1,126.2,185.9,3,18.84
87,817,905,3388,3174,1.5,124.4,182.0,3,19.02
88,931,910,4992,4823,1.4,122.9,180.2,3,22.44
89,704,912,4182,4172,3.5,115.9,186.7,3,20.65
90,587,918,3704,3653,1.8,121.9,164.9,3,19.22
91,473,921,3816,3812,0.3,117.3,170.5,3,20.11
92,1484,986,3724,3686,1.0,126.7,176.7,3,19.68
93,1380,993,4328,4318,179.7,131.2,181.1,3,21.66
94,1264,994,3557,3533,179.2,133.3,185.2,3,18.95
95,1156,996,3956,3957,0.5,127.1,189.5,3,19.84
96,933,1004,3534,3402,1.7,112.2,180.6,3,19.37
97,822,1006,3560,3547,1.6,114.6,190.3,3,18.94
98,1045,1007,5101,4967,179.5,146.1,243.7,1,23.00
99,708,1015,4116,4122,1.4,117.6,186.6,3,20.86
100,594,1017,3664,3697,1.3,116.1,181.0,3,19.33
101,475,1024,4499,4464,179.5,119.7,172.6,3,21.91
