id,x,y,area_px,pixeles,H,S,V,tipo,calibre_px
1,1025,78,3638,3654,2.9,119.8,167.6,3,70.20
2,1260,78,3940,3960,0.1,127.8,169.6,3,74.72
3,1374,78,3870,3912,2.0,126.3,176.8,3,74.01
4,1485,79,3935,3929,0.5,127.0,185.6,3,75.11
5,1145,80,3716,3757,1.2,129.2,176.4,3,71.19
6,674,83,4307,4330,2.7,116.2,182.6,3,78.19
7,912,84,3674,3516,2.0,125.8,183.0,3,70.83
8,792,85,3644,3673,2.4,123.0,181.9,3,71.08
9,437,87,3824,3832,1.7,112.2,176.0,3,74.62
10,557,87,3318,3354,2.1,134.6,204.0,2,68.45
11,1263,180,5408,5445,0.3,139.2,199.6,2,87.26
12,1488,180,5464,5467,0.8,125.9,173.9,3,88.21
13,1375,184,3728,3739,1.6,124.9,163.8,3,71.82
14,910,186,3480,3506,2.8,125.1,168.8,3,69.23
15,1030,187,3956,3966,5.1,118.2,175.5,3,73.04
16,1142,187,3066,3095,3.8,140.0,203.5,2,64.36
17,796,190,4000,4043,4.3,117.2,195.6,2,73.94
18,562,192,3715,3629,3.1,113.8,171.5,3,71.40
19,679,193,4065,3837,3.6,117.9,200.8,2,74.93
20,442,195,3169,3195,2.3,134.7,201.4,2,66.21
21,1376,284,3646,3665,1.3,127.4,170.5,3,70.75
22,1485,286,3650,3652,2.6,120.6,177.3,3,70.89
23,1263,290,5092,4972,1.6,127.9,174.7,3,81.99
24,1143,292,3280,3174,4.1,125.9,190.8,3,66.08
25,912,295,4006,4031,2.0,148.4,242.9,1,72.87
26,1033,296,3869,3917,4.0,123.4,186.6,3,72.49
27,685,297,5080,4998,3.7,131.5,199.8,2,81.63
28,799,298,3258,3147,4.7,120.7,177.7,3,65.72
29,446,301,3667,3673,2.6,117.3,173.0,3,72.08
30,564,303,5204,5113,2.5,125.4,203.7,2,84.50
31,1485,389,3540,3552,2.0,125.1,186.6,3,68.84
32,1258,390,3193,3020,5.5,126.9,172.3,3,65.95
33,1144,391,3265,3285,4.3,125.5,170.7,3,65.78
34,1374,391,3588,3612,2.0,160.0,236.7,1,68.57
35,1034,394,3792,3804,4.5,120.7,173.2,3,71.83
36,807,399,3760,3634,4.4,124.8,178.8,3,70.91
37,915,399,3714,3568,4.4,127.4,172.1,3,69.95
38,685,402,3714,3506,5.1,115.9,169.1,3,70.37
39,567,405,5021,4890,3.7,124.3,185.8,3,82.43
40,448,406,3561,3468,2.0,114.3,162.2,3,69.65
41,1376,488,3420,3412,2.6,131.9,174.5,3,67.43
42,1486,492,4050,3908,3.2,125.7,187.3,3,73.78
43,1259,493,3230,3263,5.1,131.6,179.0,3,65.16
44,1149,496,2778,2792,5.4,148.6,201.6,2,60.91
45,1036,501,3443,3316,5.9,126.4,174.6,3,67.30
46,926,503,4482,4465,4.9,128.5,171.5,3,76.61
47,694,506,3166,2984,4.9,126.5,175.5,3,64.78
48,810,507,3530,3437,6.3,122.3,192.1,2,68.17
49,571,508,4879,4688,2.2,122.1,174.7,3,80.99
50,456,512,3442,3335,4.6,113.8,170.5,3,68.52
51,1379,593,3342,3343,3.0,126.5,161.8,3,67.60
52,1489,593,5092,5076,2.4,130.4,180.6,3,84.02
53,1157,596,4554,4438,3.3,130.5,173.0,3,77.04
54,1265,597,3168,3182,3.5,131.2,166.6,3,65.74
55,1039,599,3388,3125,6.7,121.7,184.4,3,66.90
56,812,606,3004,2908,5.3,119.9,190.2,3,62.97
57,926,606,4380,4344,5.5,121.6,168.8,3,76.24
58,698,608,3166,3075,5.9,124.8,188.1,3,64.39
59,576,614,3920,3939,2.8,122.9,171.6,3,73.45
60,460,618,4058,4070,5.4,129.5,191.4,3,74.23
61,1375,695,3360,3366,2.3,130.8,175.6,3,68.69
62,1484,696,3463,3457,2.3,133.1,177.6,3,69.10
63,1148,697,3057,3066,4.2,127.1,180.2,3,64.57
64,1260,698,3138,3038,3.3,122.6,167.3,3,66.26
65,927,705,2996,2990,4.1,124.1,174.1,3,64.04
66,1039,706,3515,3530,4.6,123.7,175.4,3,68.75
67,812,712,4426,4347,4.9,124.6,173.4,3,76.04
68,697,713,3832,3863,1.4,125.3,179.9,3,72.41
69,585,717,3383,3096,3.7,117.4,170.8,3,68.22
70,465,719,3520,3524,1.3,122.3,171.6,3,69.77
71,1483,791,3516,3505,1.9,129.0,191.7,3,70.35
72,1153,794,3124,3126,2.9,131.7,178.2,3,64.91
73,1375,794,2962,2978,1.1,160.6,238.7,1,65.05
74,1265,796,3209,3196,4.0,126.0,173.3,3,66.61
75,1042,805,3059,3043,3.2,120.9,192.0,2,64.88
76,930,807,3106,3018,4.0,125.2,192.1,2,64.46
77,702,813,3714,3736,6.6,132.3,204.6,2,70.28
78,814,814,4710,4739,2.9,129.5,203.3,2,80.00
79,582,820,3862,3727,2.2,115.6,177.6,3,72.02
80,469,824,3497,3531,1.7,117.9,182.7,3,68.84
81,1490,894,5102,5130,0.3,134.4,186.2,3,84.94
82,1155,896,3208,3238,3.0,127.7,186.4,3,65.57
83,1381,896,4876,4896,1.4,131.8,183.9,3,83.16
84,1270,901,4753,4757,1.0,133.4,183.4,3,81.98
85,1045,904,3229,3243,3.0,128.2,185.2,3,66.52
86,817,905,3100,3081,1.9,124.8,179.8,3,67.01
87,931,911,4700,4684,1.3,123.4,179.7,3,80.32
88,704,912,3846,3881,3.3,117.4,187.0,3,72.35
89,587,919,3383,3407,1.6,123.0,164.9,3,67.76
90,473,922,3542,3568,0.0,119.3,169.8,3,71.50
91,1484,987,3424,3453,0.7,129.6,174.5,3,70.16
92,1381,994,4038,4068,179.5,134.1,180.0,3,77.32
